,sample,improvement in acne,improvement in 2nd moment,improvement in 1st moment
0,Sample a,70.0,89.9463194672,8.36397374099
1,Sample b,61.6666666667,51.2949496938,52.4522352974
2,Sample c,54.0,19.0077091192,3.6720406025
3,Sample d,58.6206896552,92.8681073598,38.8667083658
4,Sample e,56.1797752809,9.42525153686,41.0650392387
5,Sample f,34.8837209302,74.6015113547,40.1485496703
6,Sample g,43.8596491228,422.844244662,94.1558315469
7,Sample h,37.5,5.07327387704,3.71063767201
8,Sample i,28.3783783784,43.8956835157,37.4251100592
